surah_no,surah_name_en,surah_name_roman,ayah_no_surah,ayah_no_quran,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,place_of_revelation,sajah_ayah,no_of_word_ayah
2,The Cow,Al-Baqarah,39,46,But those who disbelieve and deny Our signs will be the residents of the Fire. They will be there forever.”,5,1,1,2,Medinan,FALSE,11
2,The Cow,Al-Baqarah,40,47,"O children of Israel! Remember My favours upon you. Fulfil your covenant and I will fulfil Mine, and stand in awe of Me ˹alone˺.",6,1,1,2,Medinan,FALSE,13
2,The Cow,Al-Baqarah,41,48,Believe in My revelations which confirm your Scriptures. And be mindful of Me.,6,1,1,2,Medinan,FALSE,19
2,The Cow,Al-Baqarah,42,49,Do not mix truth with falsehood or hide the truth knowingly.,6,1,1,2,Medinan,FALSE,8
2,The Cow,Al-Baqarah,43,50,"Establish prayer, pay alms-tax, and bow down with those who bow down.",6,1,1,2,Medinan,FALSE,7
2,The Cow,Al-Baqarah,44,51,"Do you preach righteousness and fail to practice it yourselves, although you read the Scripture? Do you not understand?",6,1,1,3,Medinan,FALSE,12
2,The Cow,Al-Baqarah,45,52,"And seek help through patience and prayer. Indeed, it is a burden except for the humble—",6,1,1,3,Medinan,FALSE,9
2,The Cow,Al-Baqarah,46,53,those who are certain that they will meet their Lord and to Him they will return.,6,1,1,3,Medinan,FALSE,8
2,The Cow,Al-Baqarah,47,54,O Children of Israel! Remember ˹all˺ the favours I granted you and how I honoured you above the others.,7,1,1,3,Medinan,FALSE,11
2,The Cow,Al-Baqarah,48,55,"Guard yourselves against the Day on which no soul will be of help to another. No intercession will be accepted, no ransom taken, and no help will be given.",7,1,1,3,Medinan,FALSE,19
2,The Cow,Al-Baqarah,49,56,"˹Remember˺ how We delivered you from the people of Pharaoh, who afflicted you with dreadful torment, slaughtering your sons and keeping your women. That was a severe test from your Lord.",7,1,1,3,Medinan,FALSE,19
2,The Cow,Al-Baqarah,50,57,"And ˹remember˺ when We parted the sea, rescued you, and drowned Pharaoh’s people before your very eyes.",7,1,1,3,Medinan,FALSE,10
2,The Cow,Al-Baqarah,51,58,"And ˹remember˺ when We appointed forty nights for Moses, then you worshipped the calf in his absence, acting wrongfully.",7,1,1,3,Medinan,FALSE,12
2,The Cow,Al-Baqarah,52,59,Even then We ˹still˺ forgave you so perhaps you would be grateful.,7,1,1,3,Medinan,FALSE,8
2,The Cow,Al-Baqarah,53,60,And ˹remember˺ when We gave Moses the Scripture—the standard ˹to distinguish between right and wrong˺ that perhaps you would be ˹rightly˺ guided.,7,1,1,3,Medinan,FALSE,7
2,The Cow,Al-Baqarah,54,61,"And ˹remember˺ when Moses said to his people, “O my people! Surely you have wronged yourselves by worshipping the calf, so turn in repentance to your Creator and execute ˹the calf-worshippers among˺ yourselves. That is best for you in the sight of your Creator.” Then He accepted your repentance. Surely He is the Accepter of Repentance, Most Merciful.",7,1,1,3,Medinan,FALSE,27
2,The Cow,Al-Baqarah,55,62,"And ˹remember˺ when you said, “O Moses! We will never believe you until we see Allah with our own eyes,” so a thunderbolt struck you while you were looking on.",7,1,1,3,Medinan,FALSE,14
2,The Cow,Al-Baqarah,56,63,"Then We brought you back to life after your death, so that perhaps you would be grateful.",7,1,1,3,Medinan,FALSE,7
2,The Cow,Al-Baqarah,57,64,"And ˹remember when˺ We shaded you with clouds and sent down to you manna and quails, ˹saying˺, “Eat from the good things We have provided for you.” The evildoers ˹certainly˺ did not wrong Us, but wronged themselves.",7,1,1,3,Medinan,FALSE,20
2,The Cow,Al-Baqarah,58,65,"And ˹remember˺ when We said, “Enter this city and eat freely from wherever you please; enter the gate with humility, saying, ‘Absolve us.’ We will forgive your sins and multiply the reward for the good-doers.”",7,1,1,3,Medinan,FALSE,21
2,The Cow,Al-Baqarah,59,66,But the wrongdoers changed the words they were commanded to say. So We sent down a punishment from the heavens upon them for their rebelliousness.,7,1,1,3,Medinan,FALSE,18
2,The Cow,Al-Baqarah,60,67,"And ˹remember˺ when Moses prayed for water for his people, We said, “Strike the rock with your staff.” Then twelve springs gushed out, ˹and˺ each tribe knew its drinking place. ˹We then said,˺ “Eat and drink of Allah’s provisions, and do not go about spreading corruption in the land.”",8,1,1,4,Medinan,FALSE,32
2,The Cow,Al-Baqarah,61,68,"And ˹remember˺ when you said, “O Moses! We cannot endure the same meal ˹every day˺. So ˹just˺ call upon your Lord on our behalf, He will bring forth for us some of what the earth produces of herbs, cucumbers, garlic, lentils, and onions.” Moses scolded ˹them˺, “Do you exchange what is better for what is worse? ˹You can˺ go down to any village and you will find what you have asked for.” They were stricken with disgrace and misery, and they invited the displeasure of Allah for rejecting Allah’s signs and unjustly killing the prophets. This is ˹a fair reward˺ for their disobedience and violations.",8,1,1,4,Medinan,FALSE,64
2,The Cow,Al-Baqarah,62,69,"Indeed, the believers, Jews, Christians, and Sabians",9,1,1,4,Medinan,FALSE,24
2,The Cow,Al-Baqarah,63,70,"And ˹remember˺ when We took a covenant from you and raised the mountain above you ˹saying˺, “Hold firmly to that ˹Scripture˺ which We have given you and observe its teachings so perhaps you will become mindful ˹of Allah˺.”",9,1,1,4,Medinan,FALSE,15
2,The Cow,Al-Baqarah,64,71,"Yet you turned away afterwards. Had it not been for Allah’s grace and mercy upon you, you would have certainly been of the losers.",9,1,1,4,Medinan,FALSE,14
2,The Cow,Al-Baqarah,65,72,"You are already aware of those of you who broke the Sabbath. We said to them, “Be disgraced apes!”",9,1,1,4,Medinan,FALSE,12
2,The Cow,Al-Baqarah,66,73,"So We made their fate an example to present and future generations, and a lesson to the God-fearing.",9,1,1,4,Medinan,FALSE,9
2,The Cow,Al-Baqarah,67,74,"And ˹remember˺ when Moses said to his people, “Allah commands you to sacrifice a cow.” They replied, “Are you mocking us?” Moses responded, “I seek refuge in Allah from acting foolishly!”",9,1,1,4,Medinan,FALSE,22
2,The Cow,Al-Baqarah,68,75,"They said, “Call upon your Lord to clarify for us what type ˹of cow˺ it should be!” He replied, “Allah says, ‘The cow should neither be old nor young but in between. So do as you are commanded!’”",9,1,1,4,Medinan,FALSE,25
2,The Cow,Al-Baqarah,69,76,"They said, “Call upon your Lord to specify for us its colour.” He replied, “Allah says, ‘It should be a bright yellow cow—pleasant to see.’”",9,1,1,4,Medinan,FALSE,19
2,The Cow,Al-Baqarah,70,77,"Again they said, “Call upon your Lord so that He may make clear to us which cow, for all cows look the same to us. Then, Allah willing, we will be guided ˹to the right one˺.”",9,1,1,4,Medinan,FALSE,17
2,The Cow,Al-Baqarah,71,78,"He replied, “Allah says, ‘It should have been used neither to till the soil nor water the fields; wholesome and without blemish.’” They said, “Now you have come with the truth.” Yet they still slaughtered it hesitantly!",9,1,1,4,Medinan,FALSE,26
2,The Cow,Al-Baqarah,72,79,"˹This is˺ when a man was killed and you disputed who the killer was, but Allah revealed what you concealed.",10,1,1,4,Medinan,FALSE,11
2,The Cow,Al-Baqarah,73,80,"So We instructed, “Strike the dead body with a piece of the cow.” This is how ˹easily˺ Allah brings the dead to life, showing you His signs so that you may understand.",10,1,1,4,Medinan,FALSE,12
2,The Cow,Al-Baqarah,74,81,"Even then your hearts became hardened like a rock or even harder, for some rocks gush rivers; others split, spilling water; while others are humbled in awe of Allah. And Allah is never unaware of what you do.",10,1,1,4,Medinan,FALSE,41
2,The Cow,Al-Baqarah,75,82,"Do you ˹believers still˺ expect them to be true to you, though a group of them would hear the word of Allah then knowingly corrupt it after understanding it?",10,1,1,5,Medinan,FALSE,20
2,The Cow,Al-Baqarah,76,83,"When they meet the believers they say, “We believe.” But in private they say ˹to each other˺, “Will you disclose to the believers the knowledge Allah has revealed to you, so that they may use it against you before your Lord? Do you not understand?”",10,1,1,5,Medinan,FALSE,24
2,The Cow,Al-Baqarah,77,84,Do they not know that Allah is aware of what they conceal and what they reveal?,10,1,1,5,Medinan,FALSE,9
2,The Cow,Al-Baqarah,78,85,"And among them are the illiterate who know nothing about the Scripture except lies, and ˹so˺ they ˹wishfully˺ speculate.",10,1,1,5,Medinan,FALSE,11
2,The Cow,Al-Baqarah,79,86,"So woe to those who distort the Scripture with their own hands then say, “This is from Allah”—seeking a fleeting gain! So woe to them for what their hands have written, and woe to them for what they have earned.",10,1,1,5,Medinan,FALSE,25
2,The Cow,Al-Baqarah,80,87,"˹Some of˺ the Jews claim, “The Fire will not touch us except for a number of days.” Say, ˹O Prophet,˺ “Have you taken a pledge from Allah—for Allah never breaks His word—or are you ˹just˺ saying about Allah what you do not know?”",10,1,1,5,Medinan,FALSE,25
2,The Cow,Al-Baqarah,81,88,But no! Those who commit evil and are engrossed in sin will be the residents of the Fire. They will be there forever.,10,1,1,5,Medinan,FALSE,14
2,The Cow,Al-Baqarah,82,89,And those who believe and do good will be the residents of Paradise. They will be there forever.,10,1,1,5,Medinan,FALSE,11
2,The Cow,Al-Baqarah,83,90,"And ˹remember˺ when We took a covenant from the children of Israel ˹stating˺, “Worship none but Allah; be kind to parents, relatives, orphans and the needy; speak kindly to people; establish prayer; and pay alms-tax.” But you ˹Israelites˺ turned away—except for a few of you—and were indifferent.",11,1,1,5,Medinan,FALSE,29
2,The Cow,Al-Baqarah,84,91,"And ˹remember˺ when We took your covenant that you would neither shed each other’s blood nor expel each other from their homes, you gave your pledge and bore witness.",11,1,1,5,Medinan,FALSE,15
2,The Cow,Al-Baqarah,85,92,"But here you are, killing each other and expelling some of your people from their homes, aiding one another in sin and aggression; and when those ˹expelled˺ come to you as captives, you still ransom them—though expelling them was unlawful for you. Do you believe in some of the Scripture and reject the rest? Is there any reward for those who do so among you other than disgrace in this worldly life and being subjected to the harshest punishment on the Day of Judgment? For Allah is never unaware of what you do.",11,1,1,5,Medinan,FALSE,53
2,The Cow,Al-Baqarah,86,93,"These are the ones who trade the Hereafter for the life of this world. So their punishment will not be reduced, nor will they be helped.",11,1,1,5,Medinan,FALSE,14
2,The Cow,Al-Baqarah,87,94,"Indeed, We gave Moses the Book and sent after him successive messengers. And We gave Jesus, son of Mary, clear proofs and supported him with the holy spirit. Why is it that every time a messenger comes to you ˹Israelites˺ with something you do not like, you become arrogant, rejecting some and killing others?",12,1,1,5,Medinan,FALSE,30
2,The Cow,Al-Baqarah,88,95,"They say, “Our hearts are unreceptive!” In fact, Allah has condemned them for their disbelief. They have but little faith.",12,1,1,5,Medinan,FALSE,11
2,The Cow,Al-Baqarah,89,96,"Although they used to pray for victory ˹by means of the Prophet˺ over the polytheists, confirming the Scripture they had ˹in their hands˺, they rejected it. So may Allah’s condemnation be upon the disbelievers.",12,1,1,5,Medinan,FALSE,27
2,The Cow,Al-Baqarah,90,97,Miserable is the price they have sold their souls for—denying Allah’s revelation and resenting Allah for granting His grace to whoever He wills of His servants! They have earned wrath upon wrath. And such disbelievers will suffer a humiliating punishment.,12,1,1,5,Medinan,FALSE,29
2,The Cow,Al-Baqarah,91,98,"When it is said to them: “Believe in what Allah has revealed,” they reply, “We only believe in what was sent down to us,” and they deny what came afterwards, though it is the truth confirming their own Scriptures! Ask ˹them, O  Prophet˺, “Why then did you kill Allah’s prophets before, if you are ˹truly˺ believers?”",12,1,1,5,Medinan,FALSE,31
2,The Cow,Al-Baqarah,92,99,"Indeed, Moses came to you with clear proofs, then you worshipped the calf in his absence, acting wrongfully.",12,1,1,6,Medinan,FALSE,12
2,The Cow,Al-Baqarah,93,100,"And when We took your covenant and raised the mountain above you ˹saying˺, “Hold firmly to that ˹Scripture˺ which We have given you and obey,” they answered, “We hear and disobey.” The love of the calf was rooted in their hearts because of their disbelief. Say, ˹O Prophet,˺ “How evil is what your ˹so-called˺ belief prompts you to do, if you ˹actually˺ believe ˹in the Torah˺!”",12,1,1,6,Medinan,FALSE,29
2,The Cow,Al-Baqarah,94,101,"Say, ˹O Prophet,˺ “If the ˹eternal˺ Home of the Hereafter with Allah is exclusively for you ˹Israelites˺ out of all humanity, then wish for death if what you say is true!”",12,1,1,6,Medinan,FALSE,17
2,The Cow,Al-Baqarah,95,102,But they will never wish for that because of what their hands have done. And Allah has ˹perfect˺ knowledge of the wrongdoers.,12,1,1,6,Medinan,FALSE,10
2,The Cow,Al-Baqarah,96,103,"You will surely find them clinging to life more eagerly than any other people, even more than polytheists. Each one of them wishes to live a thousand years. But even if they were to live that long, it would not save them from the punishment. And Allah is All-Seeing of what they do.",12,1,1,6,Medinan,FALSE,27
2,The Cow,Al-Baqarah,97,104,"Say, ˹O Prophet,˺ “Whoever is an enemy of Gabriel should know that he revealed this ˹Quran˺ to your heart by Allah’s Will, confirming what came before it—a guide and good news for the believers.”",13,1,1,6,Medinan,FALSE,18
2,The Cow,Al-Baqarah,98,105,"Whoever is an enemy of Allah, His angels, His messengers, Gabriel, and Michael, then ˹let them know that˺ Allah is certainly the enemy of the disbelievers.",13,1,1,6,Medinan,FALSE,12
2,The Cow,Al-Baqarah,99,106,"Indeed, We have sent down to you ˹O Prophet˺ clear revelations. ˹But˺ none will deny them except the rebellious.",13,1,1,6,Medinan,FALSE,11
2,The Cow,Al-Baqarah,100,107,"Why is it that every time they make a covenant, a group of them casts it aside? In fact, most of them do not believe.",13,1,1,6,Medinan,FALSE,11
2,The Cow,Al-Baqarah,101,108,"Now, when a messenger from Allah has come to them—confirming their own Scriptures—some of the People of the Book cast the Book of Allah behind their backs as if they did not know.",13,1,1,6,Medinan,FALSE,22
2,The Cow,Al-Baqarah,102,109,"They ˹instead˺ followed the magic promoted by the devils during the reign of Solomon. Never did Solomon disbelieve, rather the devils disbelieved. They taught magic to the people, along with what had been revealed to the two angels, Harût and Marût, in Babylon. The two angels never taught anyone without saying, “We are only a test ˹for you˺, so do not abandon ˹your˺ faith.” Yet people learned ˹magic˺ that caused a rift ˹even˺ between husband and wife; although their magic could not harm anyone except by Allah’s Will. They learned what harmed them and did not benefit them—although they already knew that whoever buys into magic would have no share in the Hereafter. Miserable indeed was the price for which they sold their souls, if only they knew!",13,1,1,6,Medinan,FALSE,82
2,The Cow,Al-Baqarah,103,110,"If only they were faithful and mindful ˹of Allah˺, there would have been a better reward from Allah, if only they knew!",13,1,1,6,Medinan,FALSE,13
2,The Cow,Al-Baqarah,104,111,"O believers! Do not say, “Ra’ina.” [Herd us!] But say, “Unẓurna,” [Tend to us!] and listen ˹attentively˺. And the disbelievers will suffer a painful punishment.",14,1,1,6,Medinan,FALSE,13
2,The Cow,Al-Baqarah,105,112,"The disbelievers from the People of the Book and the polytheists would not want you to receive any blessing from your Lord, but Allah selects whoever He wills for His mercy. And Allah is the Lord of infinite bounty.",14,1,1,6,Medinan,FALSE,27
2,The Cow,Al-Baqarah,106,113,"If We ever abrogate a verse or cause it to be forgotten, We replace it with a better or similar one. Do you not know that Allah is Most Capable of everything?",14,1,1,7,Medinan,FALSE,21
2,The Cow,Al-Baqarah,107,114,"Do you not know that the kingdom of the heavens and the earth belongs ˹only˺ to Allah, and you have no guardian or helper besides Allah?",14,1,1,7,Medinan,FALSE,18
2,The Cow,Al-Baqarah,108,115,Or do you ˹believers˺ intend to ask of your Messenger as Moses was asked before? But whoever trades belief for disbelief has truly strayed from the Right Way.,14,1,1,7,Medinan,FALSE,19
2,The Cow,Al-Baqarah,109,116,"Many among the People of the Book wish they could turn you ˹believers˺ back to disbelief because of their envy, after the truth has been made clear to them. Pardon and bear with them until Allah delivers His decision. Surely Allah is Most Capable of everything.",14,1,1,7,Medinan,FALSE,35
2,The Cow,Al-Baqarah,110,117,"Establish prayer, and pay alms-tax. Whatever good you send forth for yourselves, you will ˹certainly˺ find ˹its reward˺ with Allah. Surely Allah is All-Seeing of what you do.",14,1,1,7,Medinan,FALSE,19
2,The Cow,Al-Baqarah,111,118,"The Jews and Christians each claim that none will enter Paradise except those of their own faith. These are their desires. Reply, ˹O Prophet,˺ “Show ˹me˺ your proof if what you say is true.”",14,1,1,7,Medinan,FALSE,20
2,The Cow,Al-Baqarah,112,119,"But no! Whoever submits themselves to Allah and does good will have their reward with their Lord. And there will be no fear for them, nor will they grieve.",14,1,1,7,Medinan,FALSE,17
2,The Cow,Al-Baqarah,113,120,"The Jews say, “The Christians have nothing to stand on” and the Christians say, “The Jews have nothing to stand on,” although both recite the Scriptures. And those ˹pagans˺ who have no knowledge say the same ˹about people of faith˺. Surely Allah will judge between them on the Day of Judgment regarding their dispute.",15,1,1,7,Medinan,FALSE,33
2,The Cow,Al-Baqarah,114,121,"Who does more wrong than those who prevent Allah’s Name from being mentioned in His places of worship and strive to destroy them? Such people have no right to enter these places except with fear. For them is disgrace in this world, and they will suffer a tremendous punishment in the Hereafter.",15,1,1,7,Medinan,FALSE,32
2,The Cow,Al-Baqarah,115,122,"To Allah belong the east and the west, so wherever you turn you are facing ˹towards˺ Allah. All-Knowing.",15,1,1,7,Medinan,FALSE,14
2,The Cow,Al-Baqarah,116,123,"They Glory be to Him! In fact, to Him belongs whatever is in the heavens and the earth—all are subject to His Will.",15,1,1,7,Medinan,FALSE,17
2,The Cow,Al-Baqarah,117,124,"˹He is˺ the Originator of the heavens and the earth! When He decrees a matter, He simply tells it, “Be!” And it is!",15,1,1,7,Medinan,FALSE,12
2,The Cow,Al-Baqarah,118,125,"Those who have no knowledge say, “If only Allah would speak to us or a sign would come to us!” The same was said by those who came before. Their hearts are all alike. Indeed, We have made the signs clear for people of sure faith.",15,1,1,7,Medinan,FALSE,27
2,The Cow,Al-Baqarah,119,126,We have surely sent you with the truth ˹O Prophet˺ as a deliverer of good news and a warner. And you will not be accountable for the residents of the Hellfire.,15,1,1,7,Medinan,FALSE,11
2,The Cow,Al-Baqarah,120,127,"Never will the Jews or Christians be pleased with you, until you follow their faith. Say, “Allah’s guidance is the only ˹true˺ guidance.” And if you were to follow their desires after ˹all˺ the knowledge that has come to you, there would be none to protect or help you against Allah.",15,1,1,7,Medinan,FALSE,34
2,The Cow,Al-Baqarah,121,128,"Those We have given the Book follow it as it should be followed. It is they who ˹truly˺ believe in it. As for those who reject it, it is they who are the losers.",15,1,1,7,Medinan,FALSE,16
2,The Cow,Al-Baqarah,122,129,O Children of Israel! Remember My favours upon you and how I honoured you above the others.,16,1,1,7,Medinan,FALSE,11
2,The Cow,Al-Baqarah,123,130,"And guard yourselves against the Day when no soul will be of any help to another. No ransom will be taken, no intercession accepted, and no help will be given.",16,1,1,7,Medinan,FALSE,18
2,The Cow,Al-Baqarah,124,131,"˹Remember˺ when Abraham was tested by his Lord with ˹certain˺ commandments, which he fulfilled. Allah said, “I will certainly make you into a role model for the people.” Abraham asked, “What about my offspring?” Allah replied, “My covenant is not extended to the wrongdoers.”",16,1,1,8,Medinan,FALSE,23
2,The Cow,Al-Baqarah,125,132,"And ˹remember˺ when We made the Sacred House as a site of prayer.” And We entrusted Abraham and Ishmael to purify My House for those who circle it, who meditate in it, and who bow and prostrate themselves ˹in prayer˺.",16,1,1,8,Medinan,FALSE,23
2,The Cow,Al-Baqarah,126,133,"And ˹remember˺ when Abraham said, “My Lord, make this city ˹of Mecca˺ secure and provide fruits to its people—those among them who believe in Allah and the Last Day.” He answered, “As for those who disbelieve, I will let them enjoy themselves for a little while, then I will condemn them to the torment of the Fire. What an evil destination!”",16,1,1,8,Medinan,FALSE,32
2,The Cow,Al-Baqarah,127,134,"And ˹remember˺ when Abraham raised the foundation of the House with Ishmael, ˹both praying,˺ “Our Lord! Accept ˹this˺ from us. You are indeed the All-Hearing, All-Knowing.",16,1,1,8,Medinan,FALSE,15
2,The Cow,Al-Baqarah,128,135,"Our Lord! Make us both ˹fully˺ submit to You and from our descendants a nation that will submit to you. Show us our rituals, and turn to us in grace. You are truly the Accepter of Repentance, Most Merciful.",16,1,1,8,Medinan,FALSE,18
